2018-02-06 18:58:24,509 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_jpg/vdBnaTRWOjm3agJEh6Vz7q801fObVJib6Y00BJ5gm57CtrKrhCZ3pYSV2Xa0KyuoNu1bmN5O7XAVPfPliaZib3HCA/640?wx_fmt=jpeg]中高度小于175，实际高度为140，需要移除,文章ID为：223189
2018-02-06 18:58:24,521 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/vdBnaTRWOjn57aXRbyFia41rVt3cBy96LWlLLqJupUHkBZ93WwUCHmdDiciazR1z6ObjiaeaPJFoYmTOGZyia0pgIWw/640?wx_fmt=png]中高度小于175，实际高度为64，需要移除,文章ID为：223189
2018-02-06 18:58:24,522 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有21个img标签，其中移除二维码图片的标签共有1个,高度小于175的图片有11个，网易检测不符合规则的图片有0个。
2018-02-06 18:58:27,051 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有6个a标签(有href属性的)
2018-02-06 18:58:27,053 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有6个a标签(有href属性的)，已全部剔除
2018-02-06 18:58:27,631 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有99个[//span]标签
2018-02-06 18:58:27,634 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有99个[//span]标签，已全部剔除
2018-02-06 18:58:28,302 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有3个包含有特定关键词的标签
2018-02-06 18:58:28,304 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有3个包含有特定关键词的标签，已全部剔除
2018-02-06 18:58:28,580 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有349个标签
2018-02-06 18:58:28,815 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有1个包含图片的标签，稍后要图片本地化
2018-02-06 18:58:28,896 [10] INFO  BaseLog [(null)] - 文章ID为223189中,原来URL为：http://mmbiz.qpic.cn/mmbiz_jpg/R6Vx5FlGps2AZBMb5QDcic1rW5rdYSTzcOiaqX0vpRuJfjq8DLfOAw1NWFaHrPph2tV44UU28iam9fOOjSZ5HS3bQ/0?wx_fmt=jpeg的图片，替换为：http://192.168.3.76/group4/M00/00/64/pIYBAFp5i12AenJIAAAC_DsEY9A569.jpg，操作成功
2018-02-06 18:58:28,897 [10] INFO  BaseLog [(null)] - 文章ID为223189中,共有1个包含图片的标签，图片本地化完成，共替换1个。
2018-02-06 18:58:43,016 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据，批次<1>-----开始
2018-02-06 18:58:51,056 [10] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[223189],的状态为：2
2018-02-06 19:00:22,208 [1] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-02-06 19:00:22,239 [1] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-02-06 19:00:22,239 [1] INFO  BaseLog [(null)] - 当前线程[1],同步微信文章数据 任务开始
2018-02-06 19:00:22,391 [1] INFO  BaseLog [(null)] - 当前线程[1],同步微信文章数据-----开始
2018-02-06 19:00:22,392 [1] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 19:00:23,139 [1] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=746毫秒，结果返回条数为：3条记录
2018-02-06 19:00:23,140 [1] INFO  BaseLog [(null)] - 当前线程[1],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-06 19:00:23,273 [1] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/HiaPm3dictNTiaRtAyPiauYh5NpbfuKDW3mdgP1cricAlp46DLEkJ6hKBqaoMiajiafbUdPGWXX0auY2dkh90H4RVwk5A/0?wx_fmt=jpeg]---------开始
2018-02-06 19:00:23,466 [1] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/HiaPm3dictNTiaRtAyPiauYh5NpbfuKDW3mdgP1cricAlp46DLEkJ6hKBqaoMiajiafbUdPGWXX0auY2dkh90H4RVwk5A/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.76/group4/M00/00/64/pIYBAFp5i8-AK00QAAB0joUKOz0449.jpg]
2018-02-06 19:00:23,632 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有6个img标签
2018-02-06 19:00:23,635 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有6个img标签
2018-02-06 19:00:23,882 [1] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_gif/HiaPm3dictNTjh6wibrPjWMfUznOw9qla2UfuX9ERuWiaDErQG0n5ORs2wzpNVJQR0j1M3UbrTmCOib6x7qtwHOjjBQ/640?wx_fmt=gif]中高度小于175，实际高度为124，需要移除,文章ID为：225446
2018-02-06 19:00:24,034 [1] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/0icadSPMG59Iu8Q6FuHtyDLCZJ2hHuOzibZMOnV1mgYjibsJ79AlVBWtoDzbPicGPmN9X80YtHzuHSPPKVVNofx8lQ/640?wx_fmt=png]中高度小于175，实际高度为88，需要移除,文章ID为：225446
